PG.ProteinGroups	STM_ID	ΔlppA early	ΔlppA late	ΔlppB early	ΔlppB late	WT early	WT late	WT early vs ΔlppA early	WT early vs ΔlppB early	WT late vs ΔlppA late	WT late vs ΔlppB late	ΔlppA early vs ΔlppB early	ΔlppA late vs ΔlppB late
A0A0H3NCM6	STM0085	159473.6015625	121330.30859375	70127.828125	59965.83984375	75022.78125	93173.9140625	-1.0879169746591146	0.09734169958132811	-0.38094197943790103	0.6357852108319032	1.1852586742404425	1.016727190269804
A0A0H3N7U6	STM0086	64865.443359375	26420.865234375	33828.1064453125	25737.4741210937	35054.708984375	28996.3815104167	-0.8878418385458846	0.051385834580096865	0.13419516306200993	0.17200240177410905	0.9392276731259813	0.03780723871209907
A0A0H3NH47	STM0087	352200.890625	420018.1484375	339136.8828125	319297.3125	348145.328125	327403.489583333	-0.01670889383543593	0.03782197042774937	-0.35938196756004104	0.03616928874298114	0.054530864263185375	0.3955512563030221
A0A0H3N8Y9	STM0088	245989.58984375	282429.47265625	146229.8515625	145214.46875	151369.96484375	169160.072916667	-0.7005182916789192	0.049841115945387725	-0.7395015601647013	0.22020388089516285	0.7503594076243069	0.9597054410598639
A0A0H3N7H1	STM0089	353143.8671875	144642.8671875	133214.197265625	93116.904296875	156149.677734375	102938.119791667	-1.1773264505117156	0.22918174646995068	-0.4907178445520633	0.14466233519289157	1.4065081969816662	0.635380179744955
A0A0H3NCN1	STM0090	422717.390625	449953.4453125	467266.5	399203.921875	427777.4140625	401664.041666667	0.017166846438694733	-0.1273852963532458	-0.163786427716748	0.008863418062807677	-0.14455214279194062	0.17264984577955564
A0A0H3N7V2	STM0091	74917.48046875	123652.501953125	63529.03515625	76200.6298828125	67649.3798828125	71250.41796875	-0.1472256718735598	0.09066060115028253	-0.7953210487152513	-0.09690444592617788	0.23788627302384246	0.6984166027890735
A0A0H3NH51	STM0092	2209349.0625	2703242.25	1980177.40625	1898152.4375	1989874.09375	1907618.58333333	-0.15094422362293072	0.007047460612407234	-0.5029180620904339	0.0071768846517469564	0.1579916842353378	0.5100949467421809
A0A0H3N8Z5	STM0093	829119.796875	962058.671875	674621.59375	632596.390625	668116.75	605383.9375	-0.3114803388457014	-0.013978269525070176	-0.6682744835174407	-0.06343492735464644	0.29750206932063117	0.6048395561627942
A0A0H3N7H5	STM0094	175166.01171875	125632.48828125	212691.30078125	193588.515625	213507.57421875	170066.25	0.2855643813924165	0.0055262233163092	0.43688727338769556	-0.18689650564908236	-0.2800381580761072	-0.6237837790367778
A0A0H3NCN6	STM0095	89904.150390625	79293.232421875	80805.373046875	70061.7705078125	70946.57421875	76088.2799479167	-0.34165469586320757	-0.18771820339639117	-0.05952348974855902	0.1190468027497688	0.15393649246681637	0.17857029249832776
