Abbreviation	Subsystem
HOPNTAL	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Toluene+AF8-Pathway
HOPNTAL2	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Toluene+AF8-Pathway
HOXG	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
HPAtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
HPPK	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Folate+AF8-Biosynthesis
HPYRI	S+AF8-Glyoxylate+AF8-and+AF8-dicarboxylate+AF8-metabolism
HPYRRy	S+AF8-Alternate+AF8-Carbon
HSDy	S+AF8-Lysine+AF8-Metabolism
HSERTA	S+AF8-Methionine+AF8-Metabolism
HSK	S+AF8-Glycine+AF8AXw-Serine+AF8-and+AF8-threonine+AF8-metabolism
HSTPT	S+AF8-Histidine+AF8-Metabolism
HXAND	S+AF8-Purine+AF8-Metabolism
HXANt2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
HXAtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
HXPRT	S+AF8-Purine+AF8-Metabolism
HYGBDIAS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Porphyrin+AF8-and+AF8-Chlorophyll+AF8-Metabolism
HYXNtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
Htex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
I2FE2SR	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-FeS+AF8-clusters+AF8-metabolism
I2FE2SS2fdx	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-FeS+AF8-clusters+AF8-metabolism
I2FE2SSfdx	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-FeS+AF8-clusters+AF8-metabolism
I2FE2ST	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-FeS+AF8-clusters+AF8-metabolism
I4FE4SRfdx	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-FeS+AF8-clusters+AF8-metabolism
I4FE4ST	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-FeS+AF8-clusters+AF8-metabolism
ICDHyr	S+AF8-TCA+AF8-Cycle
ICITt4pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
ICITt+AF8-kt	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
ICITtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
ICL	S+AF8-TCA+AF8-Cycle
ICYSDS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-FeS+AF8-clusters+AF8-metabolism
IG3PS	S+AF8-Histidine+AF8-Metabolism
IGPDH	S+AF8-Histidine+AF8-Metabolism
IGPS	S+AF8-Phenylalanine+AF8-Tyrosine+AF8-Tryptophan+AF8-Biosynthesis
ILEDHr+AF8-1	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
ILETA	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
ILETRS	S+AF8-tRNA+AF8-Charging
ILEabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
ILEt2rpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
ILEtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
IMPC	S+AF8-Purine+AF8-Metabolism
IMPD	S+AF8-Purine+AF8-Metabolism
IND3ACtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
IND3ACtpp	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
INDOLEt5	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
INDOLEt6	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
INDOLEtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
INDOLEtpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
INSH	S+AF8-Purine+AF8-Metabolism
INStex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
IPDDI	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Terpenoid+AF8-backbone+AF8-biosynthesis
IPDPS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Terpenoid+AF8-backbone+AF8-biosynthesis
IPMD	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
IPPMIa	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
IPPMIb	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
IPPS	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
ISETACabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
ISETACtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
ISOAML	S+AF8-Starch+AF8-and+AF8-Sucrose+AF8-Metabolism
IVCS	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
IZPN	S+AF8-Histidine+AF8-Metabolism
KARA1	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
KARA2	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
KAS14	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
KAS15	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
KAT1	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT10	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT11	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT12	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT13	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT14	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT15	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT16	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT17	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT18	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT19	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
ACACT11	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT20	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT21	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT22	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT23	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT24	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT25	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT26	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT27	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT28	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT29	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
ACACT8	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT30	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT31	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KAT32	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
ACACT13	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
ACACT10	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
ACACT9	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
ACACT12	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
ACACT8r	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
VCACT	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
KDOCT2	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis
KDOPP	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis
KDOPS	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis
Kabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
Kt2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
Kt3pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
Ktex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
LALALGLUtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
LALGP	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Dipeptide+AF8-Metabolism
LCADi	S+AF8-Pyruvate+AF8-Metabolism
LCTSt3ipp	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
LDH+AF8-D	S+AF8-Pyruvate+AF8-Metabolism
LDH+AF8-D2	S+AF8-Pyruvate+AF8-Metabolism
LLEUDr	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
LEULEUabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
LEULEUtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
LEUTA	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
LEUTRS	S+AF8-tRNA+AF8-Charging
LEUabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
LEUt2rpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
LEUtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
LGTHL	S+AF8-Pyruvate+AF8-Metabolism
LIPAH	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Lipid+AF8-A+AF8-Biosynthesis
LIPOCT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis
LIPOS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis
LNLCtexi	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
LPADSS2+AF8-1	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Lipid+AF8-A+AF8-Biosynthesis
LPCOXc	S+AF8-Lysine+AF8-Metabolism
LPLIPAL1E160pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPLIPAL1E161pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPLIPAL1E180pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPLIPAL1E181d11pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPLIPAL1G160pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPLIPAL1G161pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPLIPAL1G180pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPLIPAL1G181d11pp	S+AF8-Glycerophospholipid+AF8-Metabolism
LPSALAT	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-LPS+AF8-Biosynthesis
LPSGTR1+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-LPS+AF8-Biosynthesis
LPSGTR2+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-LPS+AF8-Biosynthesis
LPSGTR3+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-LPS+AF8-Biosynthesis
LPSGTR4+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-LPS+AF8-Biosynthesis
LSERDHr	S+AF8-Glycine+AF8AXw-Serine+AF8-and+AF8-threonine+AF8-metabolism
LTDCL	S+AF8-Plant+AF8-growth+AF8-promoting
LYSDC	S+AF8-Lysine+AF8-Metabolism
LYSMO	S+AF8-Lysine+AF8-Metabolism
LYSRC	S+AF8-Lysine+AF8-Metabolism
LYSTRS	S+AF8-tRNA+AF8-Charging
LYSabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
LYStex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
L+AF8-LACD2	S+AF8-Pyruvate+AF8-Metabolism
L+AF8-LACt2rpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
L+AF8-LACtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MACACI	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Homogentisate+AF8-pathway
MACCOAT	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
MACPD	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
MAGLIPA160ex	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
MAGLIPA180ex	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
MAGLIPA181d9ex	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
MAGLIPA182d9d12ex	S+AF8-Fatty+AF8-Acid+AF8-Metabolism
MAK	S+AF8-Starch+AF8-and+AF8-Sucrose+AF8-Metabolism
MALCOAMT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Biotin+AF8-Biosynthesis
MALDt2+AF8-2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
MALDtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MALEI	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Nicotinic+AF8-acid+AF8-pathway
MALS	S+AF8-TCA+AF8-Cycle
MALTT	S+AF8-Starch+AF8-and+AF8-Sucrose+AF8-Metabolism
MALt2+AF8-2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
MALtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MAN1PT2	S+AF8-Alginate+AF8-biosynthesis
MAN6PI	S+AF8-Alginate+AF8-biosynthesis
MANE	S+AF8-Alternate+AF8-Carbon
MANabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
MANtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MBCOAi	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
MCBTFR1	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
MCBTFR2	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
MCBTFUexs	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
MCBTFabcpp	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
MCBTFtex	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
MCBTFtonex	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
MCBTFtpp	S+AF8-Iron+AF8-uptake+AF8-and+AF8-metabolism
MCCC	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
MCITD	S+AF8-Alternate+AF8-Carbon+AF8AXw-Propanoate+AF8-Metabolism
MCITL2	S+AF8-Alternate+AF8-Carbon+AF8AXw-Propanoate+AF8-Metabolism
MCITS	S+AF8-Alternate+AF8-Carbon+AF8AXw-Propanoate+AF8-Metabolism
MCOATA	S+AF8-Fatty+AF8-Acid+AF8AXw-Biosynthesis
MCSNAH	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Nucleotide+AF8-Metabolism
MCSNtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MCSNtpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
MCTP1App	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MCTP1Bpp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MCTP2App	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDCP1pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDCP2pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDCP3pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDCP4pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDCP5pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDEP1pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDEP2pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDEP3pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDDEP4pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MDH	S+AF8-TCA+AF8-Cycle
MDH2	S+AF8-TCA+AF8-Cycle
MDNTHAep	S+AF8-Xenobiotic+AF8-tolerance
ME2	S+AF8-TCA+AF8-Cycle
MECDPDH5	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Terpenoid+AF8-backbone+AF8-biosynthesis
MECDPS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Terpenoid+AF8-backbone+AF8-biosynthesis
MELIBt3ipp	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
MEOHtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MEOHtrpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
MEPCT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Terpenoid+AF8-backbone+AF8-biosynthesis
METAT	S+AF8-Methionine+AF8-Metabolism
METDabcpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
METGL	S+AF8-Methionine+AF8-Metabolism
METOX1s	Unassigned
METOX2s	Unassigned
METS	S+AF8-Methionine+AF8-Metabolism
METSOXR1	Unassigned
METSOXR2	Unassigned
METTRS	S+AF8-tRNA+AF8-Charging
METabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
METtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MG2tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MG2tpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
MG2uabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
MGCH	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
MI1PP	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis
MICITDr	S+AF8-Alternate+AF8-Carbon+AF8AXw-Propanoate+AF8-Metabolism
MLDCP1App	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLDCP1Bpp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLDCP2App	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLDCP2Bpp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLDCP3App	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLDEP1pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLDEP2pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLTGY1pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLTGY2pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLTGY3pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MLTGY4pp	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MMETt2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
MMETtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MMSAD3	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Dipeptide+AF8-Metabolism
MMTSAO	S+AF8-Valine+AF8AXw-Leucine+AF8AXw-and+AF8-Isoleucine+AF8-Metabolism
MN2t3pp	S+AF8-Heavy+AF8-Metal+AF8-Tolerance
MNabc+AF8-1	S+AF8-Transport+AF8AXw-ABC+AF8-system
MNtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MOADSUx	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Molybdopterin+AF8-Biosynthesis
MOAT2+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Lipid+AF8-A+AF8-Biosynthesis
MOAT+AF8-kt	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Lipid+AF8-A+AF8-Biosynthesis
MOBDabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
MOBDtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MOCOS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Molybdopterin+AF8-Biosynthesis
MOGDS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Molybdopterin+AF8-Biosynthesis
MOHMT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Pantothenate+AF8-and+AF8-CoA+AF8-Biosynthesis
MOTH1	S+AF8-Starch+AF8-and+AF8-Sucrose+AF8-Metabolism
MOTS1	S+AF8-Starch+AF8-and+AF8-Sucrose+AF8-Metabolism
MPTAT	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Molybdopterin+AF8-Biosynthesis
MPTG	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MPTG2	S+AF8-Cell+AF8-Envelope+AF8-Biosynthesis+AF8AXw-Peptidoglycan+AF8-Biosynthesis
MPTS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Molybdopterin+AF8-Biosynthesis
MPTSS	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Molybdopterin+AF8-Biosynthesis
MSO3abcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
MSO3tex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
MSULR	S+AF8-Sulfur+AF8-Metabolism
MTHFC	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-One+AF8-Carbon+AF8-pool+AF8-by+AF8-folate
MTHFD	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-One+AF8-Carbon+AF8-pool+AF8-by+AF8-folate
MTHFR2	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-One+AF8-Carbon+AF8-pool+AF8-by+AF8-folate
MTI	S+AF8-Starch+AF8-and+AF8-Sucrose+AF8-Metabolism
MTOLDOX	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Toluene+AF8-Pathway
MTRI	S+AF8-Methionine+AF8-Metabolism
MUCCYCI	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-B+AF8-Ketoadipate+AF8-pathway
MUCCY+AF8-kt	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-B+AF8-Ketoadipate+AF8-pathway
MUCLI	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-B+AF8-Ketoadipate+AF8-pathway
MXMO	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Toluene+AF8-Pathway
MXYLt5	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
MXYLt6	S+AF8-Transport+AF8AXw-solvent+AF8-extrusion
M+AF8-XYLtpp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
M+AF8-Xylt1	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NACHY	S+AF8-Aromatic+AF8-Compounds+AF8-Degradation+AF8AXw-Nicotinic+AF8-acid+AF8-pathway
NACODA	S+AF8-Arginine+AF8-and+AF8-Proline+AF8-Metabolism
NACt1pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NACtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NADDP	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NADH16pp	S+AF8-Oxidative+AF8-Phosphorylation
NADH5	S+AF8-Oxidative+AF8-Phosphorylation
NADHPO	Unassigned
NADK	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NADN	S+AF8-Purine+AF8-Metabolism
NADPHQR2	Unassigned
NADS1	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NADTRHD	S+AF8-Oxidative+AF8-Phosphorylation
NAMNPP	S+AF8-Cofactor+AF8-and+AF8-Prosthetic+AF8-Group+AF8-Biosynthesis+AF8AXw-Nicotinamide+AF8-Biosynthesis
NAt3+AF8-1p5pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NAt3+AF8-1pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NAt3+AF8-2pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NAt3pp	S+AF8-Transport+AF8AXw-Inner+AF8-Membrane
NAtex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NBAHH+AF8-ir	S+AF8-Alternate+AF8-Carbon+AF8-and+AF8-Nitrogen+AF8-source+AF8AXw-Amines+AF8-and+AF8-Polyamines+AF8-Metabolism
NCBMPTSabcpp	S+AF8-Transport+AF8AXw-ABC+AF8-system
NCBMPTStex	S+AF8-Transport+AF8AXw-Outer+AF8-Membrane
NDPK1	S+AF8-Purine+AF8-Metabolism
NDPK2	S+AF8-Pyrimidine+AF8-Metabolism
NDPK3	S+AF8-Pyrimidine+AF8-Metabolism
NDPK4	S+AF8-Pyrimidine+AF8-Metabolism
NDPK5	S+AF8-Purine+AF8-Metabolism
NDPK6	S+AF8-Pyrimidine+AF8-Metabolism
NDPK7	S+AF8-Pyrimidine+AF8-Metabolism
